BarackObama,0.369456227,0.052401066,katyperry,0.332838113,0.052401066,justinbieber,0.297705659,0.052401066,1,katyperry,0.362940989,0.035937309,BarackObama,0.330621645,0.035937309,justinbieber,0.306437366,0.035937309,1,katyperry,0.336483067,0.03988719,justinbieber,0.331899763,0.03988719,BarackObama,0.33161717,0.03988719,0
rihanna,0.351202331,0.074624538,taylorswift13,0.336600418,0.074624538,Cristiano,0.312197251,0.074624538,1,taylorswift13,0.358178198,0.031942129,rihanna,0.328901399,0.031942129,Cristiano,0.312920403,0.031942129,1,rihanna,0.337439282,0.025957584,Cristiano,0.334907016,0.025957584,taylorswift13,0.327653702,0.025957584,0
ladygaga,0.363538472,0.052740574,TheEllenShow,0.35144741,0.052740574,realDonaldTrump,0.285014118,0.052740574,1,ladygaga,0.333333333,0.018952608,realDonaldTrump,0.333333333,0.018952608,TheEllenShow,0.333333333,0.018952608,0,TheEllenShow,0.379541316,0.01795125,ladygaga,0.348311678,0.01795125,realDonaldTrump,0.272147006,0.01795125,1
ArianaGrande,0.34533521,0.036453724,KimKardashian,0.328225877,0.036453724,YouTube,0.326438913,0.036453724,1,YouTube,0.34912296,0.022971153,KimKardashian,0.333202691,0.022971153,ArianaGrande,0.31767435,0.022971153,1,KimKardashian,0.356238137,0.02493453,ArianaGrande,0.326677449,0.02493453,YouTube,0.317084414,0.02493453,1
jtimberlake,0.353802354,0.038695574,selenagomez,0.335179952,0.038695574,Twitter,0.311017694,0.038695574,1,selenagomez,0.361840327,0.014991522,jtimberlake,0.332652897,0.014991522,Twitter,0.305506776,0.014991522,1,selenagomez,0.342438338,0.022966862,jtimberlake,0.331451195,0.022966862,Twitter,0.326110467,0.022966862,0
narendramodi,0.384864017,0.047909737,cnnbrk,0.307587008,0.047909737,britneyspears,0.307548975,0.047909737,1,cnnbrk,0.361427856,0.0339396,narendramodi,0.320395522,0.0339396,britneyspears,0.318176621,0.0339396,1,britneyspears,0.36351857,0.029949427,cnnbrk,0.324666817,0.029949427,narendramodi,0.311814613,0.029949427,1
ddlovato,0.34505731,0.061361551,jimmyfallon,0.336248373,0.061361551,shakira,0.318694317,0.061361551,1,shakira,0.350262443,0.032907724,jimmyfallon,0.325632701,0.032907724,ddlovato,0.324104856,0.032907724,1,ddlovato,0.343588462,0.032432318,jimmyfallon,0.342850308,0.032432318,shakira,0.31356123,0.032432318,0
BillGates,0.371711956,0.050896645,CNN,0.33532796,0.050896645,neymarjr,0.292960084,0.050896645,1,CNN,0.367020631,0.054884672,BillGates,0.34117065,0.054884672,neymarjr,0.291808719,0.054884672,1,neymarjr,0.350950681,0.046905518,BillGates,0.326697182,0.046905518,CNN,0.322352137,0.046905518,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accuracy,Average time,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.791666667,0.037608117,,,,,,,,,,,,,,,,,,,,,,,,,,,,
